八卦岭宿舍,1室1厅,南,福田区,34.47,南,中楼层（8层）,2500
辉煌时代大厦,2室2厅,复式,福田区,福田区-梅林-辉煌时代大厦,48.00㎡,2室2厅2卫,7500
星河国际花园,4室2厅,南/北,福田区,161.00,南北,高楼层（30层）,25000
辉煌时代大厦,2室2厅,复式,福田区,福田区-梅林-辉煌时代大厦,48.00㎡,2室2厅2卫,7500
兰江山第花园,4室2厅,东南,福田区,178.00,东南,高楼层（26层）,26000
辉煌时代大厦,2室2厅,南,福田区,福田区-梅林-辉煌时代大厦,48.01㎡,2室2厅2卫,7500
凯旋豪庭,1室1厅,南,福田区,41.00,南,高楼层（20层）,6000
合租·裕亨花园,4居室,南卧,福田区,20.00,南,高楼层（8层）,1600
碧海红树园,3室2厅,西南,福田区,99.70,西南,中楼层（32层）,10500
阳基阳光城市,3室2厅,南,福田区,101.00,南,低楼层（29层）,9000
绿洲丰和,1室1厅,北,福田区,41.00,北,低楼层（30层）,5500
辉煌时代大厦,2室2厅,南,福田区,福田区-梅林-辉煌时代大厦,48.01㎡,2室2厅2卫,7500
海康大厦,1室0厅,南,福田区,32.00,南,低楼层（31层）,3700
辉煌时代大厦,2室2厅,复式,福田区,福田区-梅林-辉煌时代大厦,48.00㎡,2室2厅1卫,7500
金地名津,2室1厅,南,福田区,60.00,南,中楼层（32层）,5600
明月花园,2室2厅,南/北,福田区,77.00,南北,高楼层（7层）,6500
深新大厦,3室2厅,南,福田区,91.00,南,高楼层（8层）,5600
中航鼎诚国际大厦,4室1厅,东,福田区,135.00,东,低楼层（28层）,40000
祥云天都世纪大厦,3室1厅,西北,福田区,89.00,西北,低楼层（32层）,8500
合租·富强花园,4居室,南卧,福田区,15.00,南,低楼层（7层）,1800
深业花园,3室2厅,东,福田区,94.00,东,高楼层（22层）,12000
辉煌时代大厦,2室1厅,复式,福田区,福田区-梅林-辉煌时代大厦,48.01㎡,2室1厅2卫,7500
锦洲市场综合楼,3室1厅,南,福田区,80.00,南,高楼层（7层）,6800
绿景虹湾,4室2厅,东北,福田区,福田区-梅林-绿景虹湾,121.00㎡,4室2厅2卫,15000
凯旋豪庭,2室1厅,南,福田区,65.51,南,中楼层（20层）,9000
花好园,1室1厅,东北,福田区,福田区-上下沙-花好园,31.00㎡,1室1厅1卫,4400
金怡华庭,1室1厅,北,福田区,37.00,北,高楼层（31层）,5000
绿景虹湾,2室2厅,南,福田区,福田区-梅林-绿景虹湾,53.00㎡,2室2厅1卫,8200
深业上城,4室2厅,南,福田区,282.00,南,低楼层（62层）,45000
深物业金领,2室1厅,西北,福田区,65.00,西北,中楼层（48层）,9000
雍翠豪园,2室1厅,南,罗湖区,60.00,南,低楼层（9层）,4500
合租·金景花园,3居室,西卧,罗湖区,罗湖区-银湖-金景花园,8.42㎡,3室1厅1卫,1660
源兴居,2室1厅,西南,罗湖区,57.00,西南,低楼层（32层）,4500
合租·洪湖花园,4居室,西卧,罗湖区,罗湖区-洪湖-洪湖花园,6.10㎡,4室1厅2卫,1390
泊林花园,3室2厅,东,罗湖区,81.00,东,低楼层（23层）,7500
合租·宝丽大厦,4居室,东卧,罗湖区,罗湖区-地王-宝丽大厦,9.50㎡,4室1厅1卫,1890
金丽豪苑,2室1厅,东,罗湖区,61.77,东,中楼层（30层）,4800
合租·罗湖金岸大厦,3居室,南卧,罗湖区,罗湖区-罗湖口岸-罗湖金岸大厦,9.50㎡,3室1厅1卫,1960
合正锦湖魅力城,1室1厅,南,罗湖区,39.00,南,低楼层（31层）,3800
